name                                              b-only fit            s+b fit         rho
btag2016                                      ! +3.65, 0.62!     ! +3.60, 0.82!       -0.00
sr2016passrecoil1_wlfMC_mcstat_bin2              +0.63, 0.85        +0.64, 0.87       -0.01
sr2016passrecoil1_wlfMC_mcstat_bin3              -0.09, 0.87        -0.10, 0.89       +0.02
sr2016passrecoil1_wlfMC_mcstat_bin4              -0.07, 0.89        -0.08, 0.91       +0.04
sr2016passrecoil1_wlfMC_mcstat_bin5              -0.45, 0.89        -0.45, 0.92       +0.02
sr2016passrecoil1_wlfMC_mcstat_bin6              +0.04, 0.88        +0.05, 0.91       -0.01
sr2016passrecoil1_wlfMC_mcstat_bin7              +0.84, 0.88        +0.85, 0.91       -0.02
sr2016passrecoil1_zhfMC_mcstat_bin3              -0.32, 0.96        -0.33, 0.99       +0.01
sr2016passrecoil1_zhfMC_mcstat_bin9              -0.37, 0.96        -0.36, 0.99       +0.00
sr2016passrecoil1_zlfMC_mcstat_bin3              -0.39, 0.96        -0.39, 0.98       +0.01
sr2016passrecoil1_zlfMC_mcstat_bin9              -0.35, 0.96        -0.35, 0.99       -0.01
sr2016passrecoil2_whfMC_mcstat_bin0              -0.47, 0.94        -0.45, 0.97       -0.02
sr2016passrecoil2_whfMC_mcstat_bin1              -0.36, 0.94        -0.34, 0.96       -0.01
sr2016passrecoil2_whfMC_mcstat_bin2              -0.42, 0.94        -0.42, 0.97       -0.01
sr2016passrecoil2_whfMC_mcstat_bin5              +0.39, 0.94        +0.39, 0.97       +0.02
sr2016passrecoil2_whfMC_mcstat_bin7              -0.41, 0.95        -0.41, 0.98       -0.01
sr2016passrecoil2_whfMC_mcstat_bin8              +0.35, 0.95        +0.36, 0.98       -0.00
sr2016passrecoil2_whfMC_mcstat_bin9              -0.35, 0.95        -0.35, 0.98       -0.00
sr2016passrecoil2_wjetsMC_mcstat_bin0            +0.81, 0.84        +0.80, 0.86       -0.01
sr2016passrecoil2_wjetsMC_mcstat_bin1            +0.51, 0.84        +0.50, 0.86       -0.01
sr2016passrecoil2_wjetsMC_mcstat_bin10           +0.42, 0.91        +0.43, 0.93       +0.01
sr2016passrecoil2_wjetsMC_mcstat_bin2            +0.93, 0.85        +0.92, 0.87       +0.00
sr2016passrecoil2_wjetsMC_mcstat_bin3            -0.05, 0.85        -0.07, 0.88       +0.03
sr2016passrecoil2_wjetsMC_mcstat_bin4            +0.18, 0.88        +0.16, 0.91       +0.05
sr2016passrecoil2_wjetsMC_mcstat_bin5            -0.67, 0.86        -0.70, 0.88       +0.05
sr2016passrecoil2_wjetsMC_mcstat_bin6            -0.27, 0.83        -0.29, 0.86       -0.00
sr2016passrecoil2_wjetsMC_mcstat_bin7            +0.47, 0.88        +0.47, 0.90       -0.00
sr2016passrecoil2_wjetsMC_mcstat_bin8            -0.66, 0.93        -0.67, 0.96       -0.00
